Gene,Gene name,tau,max_nTPM
ENSG00000283536,ENSG00000283536,0.9995031055900622,16.1
ENSG00000203942,C10orf62,0.9994980988593156,263.0
ENSG00000189252,SPANXN3,0.999493670886076,47.4
ENSG00000140932,CMTM2,0.9994909208819714,616.8
ENSG00000132915,PDE6A,0.9994885114885116,1001.0
ENSG00000154646,TMPRSS15,0.9994836750189826,921.9
ENSG00000130649,CYP2E1,0.9994812828709909,9697.0
ENSG00000105954,NPVF,0.9994809010773751,204.2
ENSG00000254647,INS,0.9994793844438432,12197.1
ENSG00000138483,CCDC54,0.9994655172413792,116.0
ENSG00000169393,ELSPBP1,0.9994642990934293,2669.4
ENSG00000148965,SAA4,0.9994612892306205,2067.9
ENSG00000212724,KRTAP2-3,0.9994594594594595,18.5
ENSG00000132693,CRP,0.9994542916466268,8524.7
ENSG00000257017,HP,0.999447680404526,55848.1
ENSG00000214107,MAGEB1,0.9994444444444445,14.4
ENSG00000101405,OXT,0.999434457823106,2931.7
ENSG00000153498,SPACA7,0.9994272076372315,83.8
ENSG00000082126,MPP4,0.9994268476621417,265.2
ENSG00000204539,CDSN,0.9994246121403826,663.9
ENSG00000171540,OTP,0.999421965317919,17.3
ENSG00000142511,GPR32,0.9994139194139194,54.6
ENSG00000163705,FANCD2OS,0.9994137931034482,58.0
ENSG00000106927,AMBP,0.999407669593445,10227.4
ENSG00000164334,FAM170A,0.9994029850746269,13.4
ENSG00000183668,PSG9,0.9994023904382471,100.4
ENSG00000124678,TCP11,0.9994017094017095,327.6
ENSG00000148795,CYP17A1,0.9993995187530677,8353.3
ENSG00000236027,PATE3,0.9993971868720696,149.3
ENSG00000284701,TMEM247,0.9993965517241379,46.4
ENSG00000204941,PSG5,0.9993933649289098,105.5
ENSG00000120500,ARR3,0.9993902097902096,357.5
ENSG00000186910,SERPINA11,0.9993807239424334,458.6
ENSG00000131187,F12,0.9993796358732299,593.2
ENSG00000077935,SMC1B,0.9993793103448274,29.0
ENSG00000198077,CYP2A7,0.9993734643734643,162.8
ENSG00000268447,SSX2B,0.9993710691823899,15.9
ENSG00000230054,TEX53,0.9993636363636363,66.0
ENSG00000275489,C17orf98,0.9993617021276596,18.8
ENSG00000239839,DEFA3,0.9993580714513907,34745.3
ENSG00000197561,ELANE,0.9993534858387799,3672.0
ENSG00000005421,PON1,0.9993534136546185,498.0
